DEPART_DATE,FARE_CNT_1,FARE_CNT_2,FARE_CNT_3,FARE_CNT_4,FARE_CNT_5,FARE_CNT_6,FARE_CNT_7,FARE_CNT_8,FARE_CNT_9,FARE_CNT_10,FARE_CNT_11,FARE_CNT_12,FARE_CNT_13,FARE_CNT_14,FARE_AVG_1,FARE_AVG_2,FARE_AVG_3,FARE_AVG_4,FARE_AVG_5,FARE_AVG_6,FARE_AVG_7,FARE_AVG_8,FARE_AVG_9,FARE_AVG_10,FARE_AVG_11,FARE_AVG_12,FARE_AVG_13,FARE_AVG_14,FARE_MIN_1,FARE_MIN_2,FARE_MIN_3,FARE_MIN_4,FARE_MIN_5,FARE_MIN_6,FARE_MIN_7,FARE_MIN_8,FARE_MIN_9,FARE_MIN_10,FARE_MIN_11,FARE_MIN_12,FARE_MIN_13,FARE_MIN_14,FARE_MAX_1,FARE_MAX_2,FARE_MAX_3,FARE_MAX_4,FARE_MAX_5,FARE_MAX_6,FARE_MAX_7,FARE_MAX_8,FARE_MAX_9,FARE_MAX_10,FARE_MAX_11,FARE_MAX_12,FARE_MAX_13,FARE_MAX_14,FARE_STD_1,FARE_STD_2,FARE_STD_3,FARE_STD_4,FARE_STD_5,FARE_STD_6,FARE_STD_7,FARE_STD_8,FARE_STD_9,FARE_STD_10,FARE_STD_11,FARE_STD_12,FARE_STD_13,FARE_STD_14,FARE_VAR_1,FARE_VAR_2,FARE_VAR_3,FARE_VAR_4,FARE_VAR_5,FARE_VAR_6,FARE_VAR_7,FARE_VAR_8,FARE_VAR_9,FARE_VAR_10,FARE_VAR_11,FARE_VAR_12,FARE_VAR_13,FARE_VAR_14,DOW_0,DOW_1,DOW_2,DOW_3,DOW_4,DOW_5,DOW_6,HOLIDAY_N,HOLIDAY_Y,SNOW,RAIN,TEMP,AIR_ARRIVE,PSG_ARRIVE
2022-01-15,261.0,277.0,286.0,298.0,304.0,494.0,501.0,308.0,309.0,310.0,308.0,307.0,309.0,307.0,99082.52873563218,95583.39350180505,93674.8951048951,88657.65100671141,85740.19736842105,77668.13765182186,76185.249500998,82922.79220779221,81417.928802589,80720.45161290323,81558.05194805194,82642.08469055375,82211.19741100323,81805.99348534201,35900.0,29900.0,22000.0,20000.0,20900.0,14900.0,9400.0,16800.0,15900.0,15900.0,16900.0,17100.0,17100.0,14400.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,30809.22051862911,34906.8856009164,38114.0559855963,38191.41333305315,39922.72041383762,37315.78777426893,38376.549956811206,42750.95852397811,42944.08951494538,43802.45041751154,42399.92174840548,43136.80330716952,43378.73487258438,43326.073304801466,949208068.9655169,1218490662.3554647,1452681263.6731691,1458584052.3761098,1593823605.2414467,1392468017.2142785,1472759586.587626,1827644454.7188966,1844194824.2676415,1918654662.5785573,1797753364.270908,1860783799.5614312,1881714639.145968,1877148628.0130303,0,0,0,0,0,1,0,1,0,0.0,1.1,6.6,238,40794
2022-01-16,276.0,284.0,281.0,297.0,310.0,310.0,519.0,520.0,313.0,313.0,316.0,316.0,318.0,318.0,93041.19565217392,88798.97887323944,87757.3665480427,84626.16161616161,78322.83870967742,75561.35483870968,67394.31599229288,65738.80769230769,71235.52715654952,69733.5143769968,68352.65822784811,69676.26582278482,69548.45911949685,68481.35220125786,58900.0,50000.0,45000.0,29000.0,23900.0,21900.0,16800.0,7900.0,16800.0,14900.0,16900.0,14400.0,14900.0,14400.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,26864.54131415169,26868.743673386074,28365.690571738087,31462.13409542742,34346.22257989782,36430.32627622389,34079.754673904965,34410.86891578086,37603.94221772717,38038.597719365556,39157.143351514744,40378.836299877294,40820.001334819484,40764.43985682696,721703580.0197631,721929386.5861242,804612401.611591,989865881.8386567,1179663005.5078828,1327168672.5921288,1161429678.633547,1184107899.5390537,1414056470.314164,1446934916.4557226,1533281875.4510753,1630450420.932288,1666272508.9746647,1661739556.8408628,0,0,0,0,0,0,1,1,0,0.0,1.03,6.9,244,42494
2022-01-17,146.0,146.0,175.0,209.0,236.0,257.0,281.0,460.0,468.0,298.0,298.0,300.0,301.0,302.0,75035.34246575342,75035.34246575342,71176.62857142858,74001.48325358852,73377.20338983051,69032.60700389105,66410.10676156584,60509.391304347824,59282.92735042735,62757.48322147651,61302.785234899326,60606.46666666667,60930.232558139534,60640.26490066225,25900.0,25900.0,21900.0,21900.0,15900.0,12800.0,11900.0,10400.0,5900.0,10900.0,8800.0,10900.0,9600.0,11100.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,33758.67034814925,33758.67034814925,32881.67867659943,34588.27484746814,35411.40111838231,34350.02668720007,33077.42143694294,30153.80102747051,30112.647854203784,33187.6678148872,33359.14730701856,34186.84246178997,34735.109715469975,34736.6051422224,1139647823.6750116,1139647823.6750116,1081204792.5911338,1196348756.9239974,1253967329.1669676,1179924333.4113574,1094115808.9171321,909251716.4042815,906771560.7912838,1101421294.9912996,1112832709.0513637,1168740197.507246,1206527846.9457366,1206631736.8066716,1,0,0,0,0,0,0,1,0,0.0,0.0,5.3,233,42803
2022-01-18,192.0,209.5,227.0,231.0,254.0,266.0,275.0,279.0,474.0,476.0,282.0,283.0,284.0,284.0,71417.55208333333,71102.344323605,70787.13656387666,67056.58008658008,66701.81102362205,65017.70676691729,61368.07272727273,60719.89247311828,53512.23628691983,52664.95798319328,57113.68794326241,56271.94346289753,55610.457746478874,55057.42957746479,22000.0,20500.0,19000.0,14900.0,11900.0,10900.0,8700.0,7590.0,5900.0,5900.0,5600.0,6900.0,6900.0,6900.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,33868.43214662544,33968.11683808537,34067.8015295453,32948.49710884551,32076.548485071387,32687.907099878616,33091.48143181801,34260.495556016,31001.33595394319,31393.90004105423,35633.39917168454,36200.271776687136,37133.179064311706,36975.11499245501,1147070696.0705714,1153842898.5635302,1160615101.056489,1085603461.7316012,1028904962.7151355,1068499270.5702947,1095046143.3523557,1173781555.743792,961082830.9292508,985576959.7877047,1269739136.5286086,1310459676.7060113,1378872987.4222372,1367159128.7052715,0,1,0,0,0,0,0,1,0,0.0,0.0,5.2,223,39383
2022-01-19,203.0,244.0,254.0,264.0,268.0,275.0,282.0,284.0,285.0,489.0,494.0,292.0,293.0,294.0,68348.71921182267,64762.58196721312,64268.73416542474,63774.88636363636,61551.49253731343,60935.41818181818,60320.53191489362,56492.042253521126,55271.01754385965,49787.60736196319,49641.093117408906,54815.34246575343,54000.44368600682,53016.56462585034,24600.0,20010.0,19955.0,19900.0,17900.0,14500.0,12900.0,11300.0,9660.0,6900.0,6900.0,7300.0,6210.0,6210.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,26386.24850623235,27832.754519993316,28982.572315711142,30132.390111428966,30125.333373634272,31638.21729378672,33025.89978031922,33933.66613823575,34233.44106778109,31024.46672969437,31804.448226582983,36554.5010821766,37012.37852183462,37394.77573111583,696234110.232649,774662224.1702083,841311578.9987752,907960933.827342,907535710.8726028,1000976793.5288652,1090710056.2996888,1151493697.5812473,1171928487.341241,962517535.8619128,1011522926.9973974,1336231549.3668501,1369916163.8435643,1398369251.9804494,0,0,1,0,0,0,0,1,0,0.0,0.83,4.4,224,39045
2022-01-20,121.0,185.0,216.0,223.5,231.0,237.0,252.0,258.0,270.0,279.0,470.0,477.0,284.0,290.0,79127.93388429753,76489.02702702703,74718.24074074074,73461.00348725349,72203.76623376623,70117.13080168776,69258.45238095238,68094.41860465116,65113.48148148148,64764.58781362007,56937.68085106383,56426.24737945493,62616.47887323944,60936.58620689655,43000.0,42090.0,38000.0,36940.0,35880.0,28900.0,27900.0,25530.0,20900.0,19320.0,7300.0,7300.0,20010.0,16560.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,23812.747948572814,25395.660257566527,26892.51601014169,27919.132769209893,28945.74952827809,29652.13400507377,30696.15357351599,31147.669520956693,32088.207710615137,33095.47903918431,30557.292045741164,31236.010199082117,32910.56773788535,33306.94094772606,567046964.8622588,644939559.9177439,723207417.3557272,780531916.5547693,837856415.7538112,879249051.0548522,942253844.2088784,970177316.5867345,1029653074.0795808,1095310732.8330882,933748097.1687162,975688333.1571621,1083105468.8299403,1109352315.295311,0,0,0,1,0,0,0,1,0,0.0,0.0,4.6,230,41666
2022-01-21,189.0,225.0,228.0,235.0,246.0,257.0,260.0,257.0,260.0,275.0,276.0,462.0,464.0,282.0,108963.22751322751,108597.51111111112,106936.71052631579,104751.23404255319,104435.81157380578,104120.38910505836,101506.07692307692,98693.46303501945,97325.07692307692,92267.27272727272,89597.82608695653,79447.61904761905,78787.6724137931,87769.36170212766,63900.0,41900.0,63900.0,67900.0,63900.0,59900.0,54900.0,49900.0,44520.0,39900.0,33900.0,20900.0,17400.0,30740.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,25420.274444341114,25491.069112378616,25356.52876096615,27209.8746798761,28873.458148987513,30537.041618098923,30709.25626047105,31309.83827371466,32490.425539403328,36532.97531820439,37637.75595163849,35364.61275814453,36226.322640064456,39587.48765646231,646190352.825622,649794604.4920632,642953550.8057036,740377280.0945624,836444095.440034,932510910.7855057,943058420.0712805,980305972.7261673,1055627751.731512,1334658285.6005313,1416600673.0750988,1250655835.5335193,1312346452.0220466,1567169178.950556,0,0,0,0,1,0,0,1,0,0.0,0.0,4.1,236,40211
2022-01-22,275.0,276.0,279.0,282.0,287.0,291.0,295.0,295.0,297.0,297.0,297.0,295.0,492.0,494.0,90069.89090909091,90440.0,91703.47670250897,93952.80141843972,92049.51219512195,90982.62050434064,89915.72881355933,88119.52542372882,87087.07070707071,85735.48821548822,81660.40404040404,83047.25423728813,73520.10162601626,72772.63157894737,24600.0,28900.0,29900.0,26900.0,25900.0,23350.0,20800.0,17600.0,19200.0,17600.0,16800.0,16800.0,7400.0,7400.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,177000.0,40512.70380628877,36978.81252825731,36923.89483534349,38832.842810386996,39716.5680199799,40746.80135776632,41777.03469555275,42642.497068494915,42336.805562555186,42546.84187926707,42468.6905957469,42848.228472732335,39950.557220009374,39964.556537857934,1641279169.696085,1367432575.9999995,1363374009.8115056,1507989680.736225,1577405775.2856903,1661363201.619554,1745320627.953418,1818382556.2365975,1792405105.2416039,1810233753.8993545,1803589680.9172812,1835970683.2514699,1596047022.1892433,1597165779.2676435,0,0,0,0,0,1,0,1,0,0.0,3.3,8.4,237,37454
2022-01-23,309.0,300.0,250.0,307.0,300.0,302.0,306.5,311.0,312.0,316.0,319.0,318.0,318.0,531.0,72246.56957928803,75533.66666666667,76631.36,75170.78175895766,75333.0,72810.0,71846.65594855306,70883.3118971061,69241.66666666667,69181.45569620254,67667.8369905956,66107.79874213836,66187.04402515723,59355.32956685499,17000.0,24600.0,26900.0,24600.0,23900.0,17000.0,18100.0,19200.0,17900.0,17900.0,15900.0,13900.0,13900.0,5900.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,40380.76752114308,37844.48974291891,36333.13999087867,36555.78594853296,37004.76990405662,37218.60825802668,37736.01376140678,38253.41926478688,38192.96040981929,37640.955123855776,38864.36488462527,39292.4554231896,39619.374535109215,36465.758133612195,1630606385.5966043,1432205403.9018943,1320097061.5967867,1336325486.31496,1369352995.6521747,1385224800.6644518,1424274443.0560098,1463324085.447568,1458702224.8660233,1416841502.6361246,1510438857.8852937,1543897053.183342,1569694838.5532606,1329751516.259104,0,0,0,0,0,0,1,1,0,0.0,12.97,9.6,245,39697
2022-01-24,235.0,235.0,244.0,249.0,258.0,254.0,272.0,274.0,276.0,279.0,279.0,284.0,285.0,286.0,66202.8085106383,66202.8085106383,68163.15573770492,68837.06827309237,67617.86821705426,67654.8031496063,64821.94852941176,63982.74962702472,63143.55072463768,62816.702508960574,63040.215053763444,61454.57746478873,58533.9649122807,57975.62937062937,14150.0,14150.0,14150.0,13900.0,13900.0,13900.0,10300.0,9100.0,7900.0,7900.0,9600.0,9600.0,8900.0,8800.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,146000.0,35845.137015139386,35845.137015139386,36037.44327756724,35168.03205853747,35330.35642788064,36259.22003722821,35237.3901691218,35269.52938161559,35301.668594109375,36156.634831312076,36250.64960901925,36868.90906031619,37044.81209138586,36183.25160859542,1284873847.6341157,1284873847.6341157,1298697317.983876,1236790478.8703191,1248234085.3210866,1314731037.7081318,1241673665.9309213,1243940735.7296247,1246207805.528328,1307302242.3248498,1314109597.0758874,1359316455.2978654,1372318102.886088,1309227696.9709232,1,0,0,0,0,0,0,1,0,0.0,0.0,9.6,238,39424
